Medien im Einsatz||||
M-17|sabrina_fahrenkamp.jpg|i||Victor1558; 2012; http://www.flickr.com/photos/76029035@N02/6829496615/; 24.2.2014
M-18|geoffrey_brooks.jpg|i||Victor1558; 2012; http://www.flickr.com/photos/76029035@N02/6829492057/; 24.2.2014
M-19|wm_spanien.jpg|i||Daniel Schroeder; 2007; http://commons.wikimedia.org/wiki/File:Santiagobernabeupanorama.jpg; 26.2.2014
M-20|tour_hamburg.jpg|i||OTB; 2007; http://www.flickr.com/photos/13871926@N05/1450014554/sizes/o/in/photostream/; 26.2.2014
M-21|tour_hannover.jpg|i|| Stern; 2004; http://en.wikipedia.org/wiki/File:Hannover-hauptbahnhof.jpg; 26.2.2014
M-22|tour_köln.jpg|i||Raimond Spekking; 2006; http://commons.wikimedia.org/wiki/File:K%C3%B6ln_Panorama.jpg; 26.2.2014
M-23|tour_frankfurt.jpg|i||Eva K.; 2008; http://commons.wikimedia.org/wiki/File:Hauptwache_Frankfurt_am_Main.jpg; 26.2.2014
M-24|tour_stuttgart.jpg|i||Andreas Praefcke; 2007; http://en.wikipedia.org/wiki/File:Stuttgart_Staatsoper.jpg; 26.2.2014
M-25|tour_münchen.jpg|i||Chris 73; 2006; http://commons.wikimedia.org/wiki/File:Neues_Rathaus_und_Marienplatz_M%C3%BCnchen.jpg; 26.2.2014
M-26|tour_wien.jpg|i||Alexander Umbricht; 2002; http://commons.wikimedia.org/wiki/File:Wien_Hofburg_Nacht.jpg; 26.2.2014
M-27|tour_bern.jpg|i||Aliman5040; 2005; http://commons.wikimedia.org/wiki/File:University_of_Bern.JPG; 26.2.2014
M-28|tour_marseille.jpg|i||Jddmano; 2006; http://en.wikipedia.org/wiki/File:Marseille-corniche.jpg; 26.2.2014
M-29|tour_paris.jpg|i||ger1axg@web.de; 2006; http://commons.wikimedia.org/wiki/File:Paris-0792.jpg; 26.2.2014
M-30|tour_lille.jpg|i||Velvet; 2010; http://commons.wikimedia.org/wiki/File:Lille_grand_place.JPG; 26.2.2014
M-31|brunnen.jpg|i||U.S. Navy photo by Mass Communication Specialist 2nd Class Michael Lindsey; 2011; http://en.wikipedia.org/wiki/File:US_Navy_110311-N-SN160-227_Ethiopian_children_play_in_the_water_of_a_well_built_by_Seabees_assigned_to_Naval_Mobile_Construction_Battalion_(NMCB)_7.jpg; 26.2.2014
M-32|wm_deutschland.jpg|i||Times; 2006; http://commons.wikimedia.org/wiki/File:Berlin-Fanmeile_am_Finaltag.JPG; 26.2.3014
M-33|speicherstadt.jpg|i||Thomas Wolf; 2012; http://commons.wikimedia.org/wiki/File:Speicherstadt_abends.jpg; 24.2.2014
M-34|fabrik_hamburg.mp4|v|| MDonato; 2014; https://vimeo.com/85907681; 27.2.2014
M-35|plantage_brasilien.jpg|i||Knase; 2007; http://commons.wikimedia.org/wiki/File:Fazenda_Da_Lagoa.jpg; 24.2.2014
M-36|plantage_guatemala.jpg|i||Caroline Gagné; 2012; http://www.flickr.com/photos/carolinegagne/6702547381/; 24.2.2014
M-37|zweigestelle_wien.jpg|i||Simon B. A.; 2010; http://www.fotocommunity.de/pc/pc/display/20933895; 24.2.2014
M-38|zweigstelle_paris.jpg|i||Wladyslaw; 2010; http://tr.wikipedia.org/wiki/Dosya:Paris_-_Eiffelturm_und_Marsfeld2.jpg; 24.2.2014
M-39|zweigstelle_barcelona.jpg|i||Jordi Payà; 2013; http://www.flickr.com/photos/arg0s/8967258755/; 24.2.2014
M-40|zweigstelle_lissabon.mp4|v|| Ricardo Salvo; 2013; https://vimeo.com/57228858; 27.2.2014
M-41|store_barcelona.mp4|v|| Barking Blogs; 2013; https://vimeo.com/49221226; 27.2.2014
M-42|zweigstelle_atlanta.jpg|i||Evilarry; 2008; http://commons.wikimedia.org/wiki/File:Downtown_atlanta_night.jpg; 26.2.2014
M-43|energydrinkfabrik_tokio.jpg|i||Morio; 2009; http://en.wikipedia.org/wiki/File:Skyscrapers_of_Shinjuku_2009_January_(revised).jpg; 26.2.2014
M-44|store_new_york.mp4|v||Meredith Mantik; 2012; https://vimeo.com/36858275; 27.2.2014
M-45|limonadenfabrik_istanbul.jpg|i||Mimar77; 2012; http://commons.wikimedia.org/wiki/File:LeventView.jpg; 26.2.2014
M-46|fabrik_prag.mp4|v|| Rodrigo Sapag; 2013; https://vimeo.com/40601538; 27.2.2014
